Demo,Cohort,GROUP,atta,cab1,cab2,cab3,SCIALL,age,sex,NATIONALITY,YEARS EXPERIENCE,CAT,VOCATIONAL,YEARS VOCATIONAL,CLASSICAL,CONTEMPORARY,SOMATIC,IMPRO,TASKING,INVENTION,,ATTATOT,ATTAIND,ATTAC,ATTAL,Cab1No,Cab1Fs,Cab1Fi,Cab1o,Cab1Tot,Cab2No,Cab2Fs,Cab2Fi,Cab2o,Cab2Tot,Cab3No,Cab3Fs,Cab3Fi,Cab3o,Cab3Tot,SCIVall,SCISall,SCIMall,SCIVten,SCISten,SCIMten
114,2,TL1,1,1,1,1,0,18.50684932,F,BRITISH,6,y,N,0,9,9,1,5,5,5,,64,11,75,5,4,6,3,6,27,5,7,12,10,46,1,5,8,7,32,,,,,,
176,2,TL1,1,1,1,1,1,20.6739726,F,BRITISH,6,N,Y,2,8,8,4,8,11,2,,66,23,89,7,4,8,8,6,36,5,9,14,5,42,1,9,13,4,39,4,9,10,0,0,0
73,2,TL1,1,1,1,1,1,19.58630137,F,BRITISH,15,N,N,0,7,7,1,5,6,1,,64,21,85,7,4,4,12,8,36,5,7,11,10,45,1,4,18,11,48,7,7,12,0,0,0
195,2,TL1,1,1,1,1,1,18.49589041,F,BRITISH,10,N,Y,2,9,6,1,7,8,2,,55,9,64,3,4,4,5,6,25,5,6,12,6,36,1,5,7,6,29,5,13,11,0,0,0
104,2,TL1,1,1,1,1,1,18.56438356,F,BRITISH,5,y,N,11,6,8,3,6,5,4,,67,10,77,5,4,5,7,7,31,5,8,9,10,45,1,6,11,10,43,10,10,13,0,0,0
14,2,TL1,1,1,1,1,1,19.0630137,M,BRITISH,4,N,N,0,3,8,1,9,8,9,,66,17,83,6,4,5,18,13,54,5,5,22,13,58,1,9,11,11,51,3,8,6,0,0,0
208,2,TL1,1,1,1,1,0,19.72328767,F,BRITISH,14,N,Y,1,9,4,5,7,7,5,,57,12,69,4,4,4,14,9,40,5,5,8,1,20,1,5,8,2,22,,,,,,
206,2,TL1,1,1,1,1,1,19.70410959,F,BRITISH,14,N,Y,2,10,5,1,4,4,2,,59,11,70,4,4,4,7,5,25,5,5,14,9,42,1,8,9,4,33,6,11,10,0,0,0
161,2,TL1,1,1,1,1,1,26.69863014,F,GERMAN,3,N,Y,1,3,6,1,6,3,1,,56,13,69,4,4,2,9,2,17,5,5,14,7,38,1,5,8,2,22,7,11,13,0,0,0
132,1,TL4,1,1,1,1,1,22.16986301,F,FRENCH,11,y,N,0,5,0,0,3,3,1,,52,3,55,2,4,2,5,1,11,5,4,5,2,17,1,3,7,3,19,5,9,9,0,0,0
231,1,TL4,1,1,1,1,0,25.32876712,F,MEXICAN,15,y,Y,5,9,8,9,8,7,3,,55,6,61,3,4,4,9,4,25,5,5,7,1,19,1,8,7,1,25,,,,,,
166,1,TL4,1,1,1,1,0,20.56986301,M,BRITISH,3,N,Y,1,3,8,7,8,8,8,,71,15,86,7,4,3,10,5,26,5,5,11,9,39,1,6,6,10,38,,,,,,
39,1,TL4,1,1,1,1,0,19.96986301,F,BRITISH,8,N,N,0,8,8,3,7,7,2,,72,11,83,6,4,5,9,4,27,5,5,13,9,41,1,6,13,7,39,,,,,,
70,1,TL4,1,1,1,1,1,19.38630137,F,BRITISH,14,N,N,0,8,4,1,9,9,1,,67,7,74,5,4,6,11,4,31,5,6,7,4,27,1,6,9,2,25,6,9,12,0,0,0
30,1,TL4,1,1,1,1,1,27.13424658,M,HUNGARIAN,6,N,N,0,6,9,9,9,8,5,,48,4,52,2,4,5,9,1,21,5,4,7,2,19,1,6,9,1,23,7,10,13,0,0,0
113,1,TL4,1,1,1,1,0,19.54246575,M,BRITISH,5,y,N,0,9,8,3,10,9,3,,73,11,84,6,4,5,16,10,46,5,4,8,3,22,1,6,12,6,36,,,,,,
100,1,TL4,1,1,1,1,0,20.79452055,F,BRITISH,5,y,N,0,8,10,3,7,10,4,,68,16,84,6,4,6,12,5,34,5,6,9,7,35,1,6,12,7,38,,,,,,
123,1,TL4,1,1,1,1,0,19.44383562,M,BRITISH,7,y,N,0,3,7,1,7,7,7,,64,16,80,6,4,3,14,6,32,5,4,10,8,34,1,0,0,6,12,,,,,,
142,1,TL4,1,1,1,1,1,19.77534247,F,BRITISH,15,y,N,0,9,8,7,8,1,7,,74,14,88,7,4,5,12,9,40,5,6,15,11,49,1,9,15,12,57,,9,,0,0,0
128,2,TL1,1,1,0,1,1,19.16164384,F,BRITISH,10,y,N,0,7,8,1,8,9,6,,58,10,68,4,4,5,12,5,32,,,,,,1,5,10,7,34,7,11,13,0,0,0
191,2,TL2,1,1,1,1,1,20.73972603,F,MALAYSIAN,9,N,Y,2,5,1,1,7,2,3,,62,18,80,6,5,6,7,3,25,5,6,7,7,33,1,6,8,9,38,10,10,13,0,0,0
91,2,TL3,1,1,1,1,1,18.91506849,M,BRITISH,2,y,N,0,3,5,1,5,5,2,,59,15,74,5,1,7,7,10,41,2,6,7,9,37,2,5,11,11,43,7,8,9,0,0,0
182,2,TL3,1,1,1,1,1,18.86575342,F,BRITISH,7,N,Y,1,8,7,5,7,8,6,,65,12,77,5,1,4,13,10,41,2,5,10,9,38,2,4,13,14,49,8,14,13,0,0,0
80,2,TL4,1,1,0,1,1,22.84931507,F,NORWEIGIAN,15,N,N,0,11,5,2,4,3,2,,52,2,54,2,2,4,1,3,15,,,,,,2,5,5,6,27,8,9,10,10,10,10
154,1,COV,1,1,1,1,1,20.34246575,F,BRITISH,14,N,N,0,2,9,3,6,1,8,,61,8,69,4,5,5,4,2,18,1,4,6,6,26,2,5,8,6,30,4,11,6,0,0,0
155,1,COV,1,1,1,1,1,19.57260274,F,BRITISH,14,N,N,0,1,4,2,3,1,2,,54,6,60,3,5,6,7,4,27,1,5,9,7,33,2,3,7,1,15,6,13,8,0,0,0
151,1,COV,1,1,1,1,1,21.23835616,M,BRITISH,8,N,N,0,5,8,3,9,3,7,,67,13,80,6,5,5,9,7,33,1,4,8,10,36,2,3,12,10,38,9,7,12,0,0,0
146,1,COV,1,1,1,1,1,20.0630137,M,BRITISH,3,N,N,0,6,4,2,9,1,5,,53,8,61,3,5,5,6,6,28,1,7,5,7,33,2,6,8,5,30,7,7,15,0,0,0
150,1,COV,1,1,1,1,0,19.55068493,F,BRITISH,6,N,N,0,2,2,3,8,2,3,,55,6,61,3,5,5,3,5,23,1,5,4,8,30,2,4,8,7,30,,,,,,
233,1,COV,1,1,1,1,1,20.44109589,F,BRITISH,10,N,Y,9,4,6,3,4,3,5,,69,12,81,6,5,4,7,6,27,1,6,8,9,38,2,6,11,7,37,,7,,0,0,0
173,2,TL2,1,1,1,1,1,20.67671233,F,BRITISH,5,N,Y,2,8,8,3,8,8,4,,67,16,83,6,5,5,13,8,39,1,6,13,7,39,2,5,16,10,46,8,9,11,0,0,0
127,2,TL2,1,1,1,1,0,18.75068493,F,BRITISH,10,y,N,0,8,6,2,6,2,2,,67,16,83,6,5,6,8,2,24,1,5,7,4,25,2,5,9,3,25,,,,,,
110,2,TL2,1,1,1,1,1,18.66575342,M,BRITISH,5,y,N,0,5,8,3,8,7,5,,67,12,79,6,5,4,6,5,24,1,0,4,5,14,2,5,11,1,23,,9,10,0,0,0
174,2,TL2,1,1,1,1,1,19.16164384,F,BRITISH,5,N,Y,2,9,8,2,7,7,4,,69,10,79,6,5,5,8,6,30,1,4,16,7,38,2,7,19,12,57,6,11,6,0,0,0
205,2,TL2,1,1,1,1,1,18.89589041,F,BRITISH,13,N,Y,2,9,8,1,4,3,1,,55,9,64,3,5,4,6,1,16,1,3,4,4,18,2,8,6,4,30,8,13,10,0,0,0
141,2,TL2,1,1,1,1,0,18.81917808,F,BRITISH,14,y,N,0,10,8,1,8,8,5,,60,11,71,4,5,6,8,4,28,1,4,8,10,36,2,6,8,4,28,,,,,,
230,2,TL2,1,1,1,1,1,20.73424658,F,BELGIAN,15,y,Y,2,8,9,9,6,6,7,,59,6,65,3,5,4,6,2,18,1,8,3,6,31,2,4,5,5,23,7,12,12,0,0,0
13,2,TL2,1,1,1,1,1,21.22465753,F,ITALIAN,4,N,N,0,8,4,1,2,1,4,,57,6,63,3,5,4,3,2,15,1,3,8,5,24,2,7,9,4,31,4,12,9,0,0,0
143,2,TL2,1,1,1,1,0,18.8,F,BRITISH,16,y,N,0,9,9,8,7,2,7,,68,11,79,6,5,4,6,2,18,1,3,7,6,25,2,6,4,5,26,,,,,,
192,2,TL2,1,1,1,1,0,19.20547945,F,BRITISH,9,N,Y,2,8,6,1,3,3,2,,64,15,79,6,5,5,9,4,27,1,5,7,6,29,2,8,8,6,36,,,,,,
79,2,TL2,1,1,1,1,1,20.69863014,F,BRITISH,15,N,N,0,9,5,5,7,8,3,,56,11,67,3,5,6,8,6,32,1,6,12,6,36,2,6,12,10,44,5,8,11,0,0,0
159,2,TL2,1,1,1,1,1,23.11232877,M,NORWEIGIAN,2,N,Y,1,4,3,3,6,4,3,,61,17,78,6,5,4,7,2,19,1,7,14,9,46,2,8,18,8,50,3,9,13,0,0,0
120,2,TL2,1,1,1,1,1,18.5260274,F,IRISH,6,y,N,0,5,7,1,6,9,5,,66,16,82,6,5,3,2,7,22,1,5,11,7,35,2,6,11,9,41,7,10,9,0,0,0
54,2,TL2,1,1,1,1,0,19.51780822,F,SWEDISH,10,N,N,0,9,7,7,8,7,6,,56,8,64,3,5,3,6,2,16,1,3,4,6,22,2,5,6,5,26,,,,,,
109,2,TL2,1,1,1,1,1,18.43561644,F,BRITISH,5,y,N,0,5,7,3,7,1,7,,60,11,71,4,5,5,7,5,27,1,6,10,12,46,2,6,14,6,38,8,5,13,0,0,0
187,2,TL2,1,1,1,1,1,18.34520548,F,BRITISH,8,N,Y,2,9,5,1,3,1,5,,60,15,75,5,5,4,10,6,30,1,8,16,8,48,2,6,12,10,44,7,8,12,0,0,0
51,2,TL2,1,1,1,1,1,18.17808219,F,BRITISH,10,N,N,0,8,2,1,3,3,1,,62,11,73,4,5,4,5,6,25,1,6,9,8,37,2,6,11,3,29,,11,14,0,0,0
112,2,TL2,1,1,0,1,0,19.01643836,M,BRITISH,5,y,N,0,7,9,4,9,8,5,,67,5,72,4,5,4,9,8,33,,,,,,2,6,15,8,43,,,,,,
181,1,TL1,1,1,1,1,0,21.17808219,F,BRITISH,7,N,Y,1,5,4,3,4,4,3,,64,6,70,4,1,4,12,3,26,2,5,6,9,34,3,3,6,2,16,,,,,,
168,1,TL1,1,1,1,1,1,20.42465753,M,BRITISH,4,N,Y,1,5,4,1,5,6,4,,68,12,80,6,1,4,15,3,29,2,7,9,7,37,3,4,9,6,29,7,10,13,0,0,0
139,1,TL1,1,1,1,1,1,20.90958904,F,BRITISH,14,y,N,0,6,5,3,4,3,4,,60,7,67,3,1,3,10,4,24,2,8,12,6,40,3,2,13,5,27,7,8,12,0,0,0
196,1,TL1,1,1,1,1,0,20.56986301,F,BRITISH,10,N,Y,1,7,9,4,9,7,7,,63,6,69,4,1,5,11,6,33,2,6,9,2,25,3,2,8,5,22,,,,,,
61,1,TL1,1,1,1,1,1,19.81643836,F,BRITISH,12,N,N,0,10,7,1,7,4,7,,58,9,67,3,1,5,8,6,30,2,5,12,5,32,3,3,5,8,27,10,9,10,0,0,0
44,1,TL1,1,1,1,1,1,19.97260274,F,BERMUDIAN,9,N,N,0,10,7,3,3,3,1,,70,9,79,6,1,6,9,5,31,2,7,8,9,40,3,4,8,5,26,6,13,12,0,0,0
85,1,TL1,1,1,1,1,1,20.62739726,F,ITALIAN,16,N,N,0,8,5,3,3,5,2,,66,8,74,5,1,4,7,3,21,2,5,10,5,30,3,3,9,4,23,6,9,9,0,0,0
119,1,TL1,1,1,1,1,1,19.35342466,F,BRITISH,6,y,N,0,8,9,6,8,9,7,,60,6,66,3,1,3,13,4,27,2,7,9,6,35,3,5,8,3,24,6,7,,0,0,0
158,1,TL1,1,1,1,1,0,19.93150685,M,BRITISH,2,N,Y,2,4,6,1,5,5,4,,65,17,82,6,1,4,7,8,31,2,7,11,8,41,3,7,5,13,45,,,,,,
102,2,TL3,1,1,1,1,1,18.5890411,F,BRITISH,5,y,N,0,6,6,5,6,9,6,,66,19,85,7,1,6,6,9,36,2,6,11,10,43,3,6,12,10,44,6,10,12,0,0,0
88,2,TL3,1,1,1,1,1,20.41917808,F,IRISH,0,N,N,0,7,7,2,8,4,4,,60,9,69,4,1,6,16,6,40,2,7,14,9,46,3,7,15,7,43,6,8,11,0,0,0
221,2,TL3,1,1,1,1,1,20.33150685,F,ITALIAN,5,y,Y,2,3,5,6,7,7,5,,59,2,61,3,1,2,5,2,13,2,5,6,2,20,3,3,6,3,18,4,3,6,0,0,0
11,2,TL3,1,1,1,1,1,19.22465753,F,BELGIAN,4,N,N,0,7,4,4,7,7,4,,61,8,69,4,1,3,11,3,23,2,3,6,2,16,3,2,2,2,10,5,13,8,0,0,0
96,2,TL3,1,1,1,1,0,19.1369863,F,BRITISH,4,y,N,0,5,7,7,6,5,5,,55,2,57,2,1,5,8,4,26,2,7,11,5,35,3,4,10,5,28,,,,,,
121,2,TL3,1,1,1,1,1,18.38082192,F,BRITISH,7,y,N,0,5,7,8,9,3,7,,61,3,64,3,1,5,6,6,28,2,5,9,7,33,3,6,8,7,34,7,11,8,0,0,0
118,2,TL3,1,1,1,1,1,18.79452055,F,BRITISH,6,y,N,0,7,8,7,8,8,4,,65,4,69,4,1,4,8,6,28,2,7,5,4,27,3,6,7,7,33,10,11,8,0,0,0
93,2,TL3,1,1,1,1,1,18.52876712,M,BRITISH,3,y,N,0,7,6,4,9,2,5,,70,6,76,5,1,5,15,2,29,2,8,8,6,36,3,4,8,6,28,9,12,10,0,0,0
26,2,TL3,1,1,1,1,1,20.61369863,F,BRITISH,6,N,N,0,2,6,1,9,9,7,,66,9,75,5,1,3,7,5,23,2,3,3,6,21,3,4,6,6,26,6,9,12,0,0,0
215,1,TL1,1,1,0,1,0,21.09589041,M,BRITISH,16,N,Y,2,3,5,3,7,7,5,,56,12,68,4,1,3,11,6,29,,,,,,3,4,5,6,25,,,,,,
184,1,TL1,1,1,0,1,1,23.42191781,F,AMERICAN,7,N,Y,3,8,4,6,8,6,7,,65,4,69,4,1,4,12,3,26,,,,,,3,2,6,4,18,6,11,12,0,0,0
204,1,TL1,1,1,0,1,0,20.2739726,F,BRITISH,12,N,Y,2,9,6,4,9,6,4,,67,16,83,6,1,4,15,9,41,,,,,,3,4,13,9,39,,,,,,
200,2,TL3,1,1,0,1,1,19.9890411,F,ITALIAN,10,N,Y,8,7,9,7,10,8,5,,69,9,78,6,1,7,13,3,33,,,,,,3,3,11,4,25,6,9,8,0,0,0
219,2,TL3,1,1,0,1,0,23.64109589,M,BRITISH,4,y,Y,3,1,1,1,3,2,2,,58,2,60,3,1,5,11,7,35,,,,,,3,5,8,6,30,,,,,,
160,2,TL1,1,1,1,1,1,21.67671233,F,GERMAN,3,N,Y,3,3,6,3,6,5,1,,73,18,91,7,4,2,10,6,26,2,6,14,3,32,3,4,9,5,27,7,9,12,0,0,0
86,2,TL4,0,1,1,1,0,19.6630137,F,NORWEIGIAN,16,N,N,0,5,2,9,8,9,3,,,,,,2,5,14,5,34,3,6,12,6,36,4,4,17,6,37,,,,,,
18,1,TL2,1,1,1,1,1,21.0109589,F,BRITISH,5,N,N,0,8,7,2,3,4,1,,69,11,80,6,2,4,8,1,18,3,5,14,6,36,4,5,11,6,33,7,12,12,0,0,0
124,1,TL2,1,1,1,1,1,20.00821918,M,BRITISH,8,y,N,0,8,8,4,9,8,7,,61,9,70,4,2,8,10,8,42,3,7,14,7,42,4,6,9,7,35,9,10,13,0,0,0
38,1,TL2,1,1,1,1,0,20.25753425,F,BRITISH,8,N,N,0,10,6,1,3,4,1,,56,16,72,4,2,3,8,3,20,3,4,10,7,32,4,4,10,6,30,,,,,,
135,1,TL2,1,1,1,1,1,19.58630137,F,BELGIAN,12,y,N,0,7,5,3,7,7,2,,68,13,81,6,2,6,12,2,28,3,6,12,4,32,4,5,11,9,39,5,7,7,0,0,0
94,1,TL2,1,1,1,1,0,21.16986301,F,BRITISH,4,y,N,0,4,4,2,3,6,1,,62,19,81,6,2,5,8,4,26,3,5,11,4,29,4,6,14,2,30,,,,,,
103,1,TL2,1,1,1,1,0,20.58630137,F,BRITISH,5,y,N,0,6,8,3,6,3,3,,65,21,86,7,2,7,5,3,25,3,5,13,7,37,4,6,11,8,39,,,,,,
22,1,TL2,1,1,1,1,1,22.97534247,M,BRITISH,5,N,N,0,1,6,8,6,4,3,,58,9,67,3,2,7,8,3,28,3,5,12,6,34,4,6,7,4,27,8,9,12,0,0,0
210,1,TL2,1,1,1,1,0,20.13424658,F,BRITISH,15,N,Y,2,11,10,4,10,6,4,,69,12,81,6,2,7,12,9,44,3,7,12,13,52,4,5,17,8,43,,,,,,
43,1,TL2,1,1,1,1,0,19.46575342,F,BRITISH,8,N,N,0,8,9,4,9,8,5,,62,9,71,4,2,5,15,6,37,3,1,7,7,23,4,5,13,8,39,,,,,,
77,1,TL2,1,1,1,1,0,19.37808219,F,BRITISH,15,N,N,0,9,4,4,6,3,1,,49,4,53,2,2,4,5,4,21,3,4,8,9,34,4,7,11,10,45,,,,,,
188,1,TL2,1,1,1,1,1,22.37534247,F,IRISH,8,N,Y,2,10,6,4,10,10,2,,60,13,73,4,2,6,9,4,29,3,5,8,6,30,4,4,6,4,22,4,7,12,0,0,0
220,1,TL2,1,1,1,1,0,20.20273973,M,BRITISH,4,y,Y,2,6,5,4,4,3,4,,64,15,79,6,2,5,15,10,45,3,8,9,16,57,4,7,6,11,42,,,,,,
34,1,TL2,1,1,1,1,1,22.68767123,F,GREEK,7,N,N,0,6,7,1,6,6,1,,62,3,65,3,2,4,4,1,14,3,4,7,4,23,4,4,1,3,15,8,9,11,0,0,0
199,2,TL4,1,1,1,1,1,21.00273973,F,ITALIAN,10,N,Y,1,8,6,6,5,7,4,,67,7,74,5,2,5,12,5,32,3,5,12,6,34,4,6,8,7,34,3,9,6,0,0,0
17,2,TL4,1,1,1,1,1,22.67123288,M,ITALIAN,4,N,N,0,1,5,7,6,5,3,,57,6,63,3,2,3,4,1,12,3,3,5,0,11,4,4,6,3,20,5,8,13,0,0,0
115,2,TL4,1,1,1,1,1,18.83013699,F,BRITISH,6,y,N,0,7,9,1,4,6,6,,62,6,68,4,2,7,7,9,39,3,4,11,8,35,4,4,7,12,39,6,12,12,0,0,0
185,2,TL4,1,1,1,1,1,19.24383562,F,AMERICAN,7,N,Y,1,7,5,2,9,7,4,,65,15,80,6,2,7,6,4,28,3,6,7,8,35,4,8,18,7,48,8,9,7,0,0,0
68,2,TL4,1,1,1,1,1,18.65753425,F,BRITISH,13,N,N,0,9,7,1,3,3,1,,60,8,68,4,2,5,8,11,40,3,6,8,9,38,4,5,9,7,33,9,9,8,0,0,0
211,2,TL4,1,1,1,1,1,18.49041096,F,FRENCH,15,N,Y,6,6,3,3,6,5,2,,57,8,65,3,2,5,2,3,18,3,5,6,5,26,4,6,13,2,29,7,12,8,0,0,0
171,2,TL4,1,1,1,1,1,19.56712329,F,BRITISH,5,N,Y,2,9,5,3,5,5,1,,66,11,77,5,2,7,11,2,29,3,7,7,3,27,4,2,11,3,21,8,11,10,0,0,0
140,2,TL4,1,1,1,1,1,19.15068493,F,BRITISH,14,y,N,0,9,7,2,3,2,4,,69,13,82,6,2,5,10,6,32,3,6,10,11,44,4,7,16,8,46,5,10,12,0,0,0
