age,ATTAC,ATTAIND,ATTAL,ATTATOT,NofSess,Cab1Fi,Cab1Fs,Cab1No,Cab1o,Cab2Fi,Cab2Fs,Cab2No,Cab2o,Cab3Fi,Cab3Fs,Cab3No,Cab3o,CAT,CLASSICAL,CODE,Cohort,CONTEMPORARY,GROUP,IMPRO,INVENTION,NATIONALITY,SCIMall,SCISall,SCIVall,sex,SOMATIC,TASKING,VOCATIONAL,YEARSEXPERIENCE,YEARSVOCATIONAL,LANG,zeroes,cab1a,cab2a,cab3a,TestAge,Did3,PerfC,PerfI,DirC,DirI,PArticulate,PCreate,PImaginative,PCritique,DArticulate,DCreate,DImaginative,DCritique,DDirecing
20.67671233,83,16,6,67,3,13,5,5,8,13,6,1,7,16,5,2,10,N,8,0305950LO,2,8,TL2,8,4,BRITISH,11,9,8,F,3,8,Y,5,2,0,0,26,26,31,20.42671233,1,,,-1,2,,,,,3,1,1,1,1
18.5890411,85,19,7,66,3,6,6,1,9,11,6,2,10,12,6,3,10,y,6,0306972LI,2,6,TL3,6,6,BRITISH,12,10,6,F,5,9,N,5,0,0,0,21,27,28,18.3390411,1,0,1,1,0,2,2,2,2,2,2,2,2,2
18.50684932,75,11,5,64,3,3,6,4,6,12,7,5,10,8,5,1,7,y,9,0307971FI,2,9,TL1,5,5,BRITISH, , , ,F,1,5,N,6,0,0,0,15,29,20,18.25684932,1,-1,0,-2,1,1,2,2,2,1,1,2,1,1
21.00273973,74,7,5,67,3,12,5,2,5,12,5,3,6,8,6,4,7,N,8,0401950SU,2,6,TL4,5,4,ITALIAN,6,9,3,F,6,7,Y,10,1,1,0,22,23,21,20.75273973,1,1,1,0,0,2,1,1,2,1,2,1,1,1
18.91506849,64,5,3,59,2,15,6,1,7,13,5,2,5, , , , ,N,8,0402972AM,2,2,TL3,8,1,IRISH,9,8,7,M,7,6,N,2,0,0,0,28,23, ,18.66506849,0,0,0,0,1,1,1,1,1,1,1,1,1,1
18.91506849,74,15,5,59,3,7,7,1,10,7,6,2,9,11,5,2,11,y,3,0402973KA,2,5,TL3,5,2,BRITISH,9,8,7,M,1,5,N,2,0,0,0,24,22,27,18.66506849,1,0,1,0,0,2,3,3,2,1,1,1,1,1
20.6739726,89,23,7,66,3,8,8,4,6,14,9,5,5,13,9,1,4,N,8,0405951KI,2,8,TL1,8,2,BRITISH,10,9,4,F,4,11,Y,6,2,0,0,22,28,26,20.4239726,1,0,0,0,1,1,1,1,1,1,1,1,1,1
19.58630137,85,21,7,64,3,12,4,4,8,11,7,5,10,18,4,1,11,N,7,0406964AM,2,7,TL1,5,1,BRITISH,12,7,7,F,1,6,N,15,0,0,0,24,28,33,19.33630137,1,1,1,-1,1,1,2,2,2,1,1,1,1,1
20.90684932,79,11,6,68,2,7,5,1,0,9,4,2,4, , , , ,N,7,0502954FR,2,4,TL3,3,1,ITALIAN,9,10,6,M,2,4,N,4,0,1,1,12,17, ,20.65684932,0,0,1,1,0,2,2,2,2,1,1,1,1,1
18.75068493,83,16,6,67,3,8,6,5,2,7,5,1,4,9,5,2,3,y,8,0504971MA,2,6,TL2,6,2,BRITISH, , , ,F,2,2,N,10,0,0,0,16,16,17,18.50068493,1,,,0,0,,,,,2,3,3,3,3
22.67123288,63,6,3,57,3,4,3,2,1,5,3,3,0,6,4,4,3,N,1,0505931FR,2,5,TL4,6,3,ITALIAN,13,8,5,M,7,5,N,4,0,1,1,8,8,13,22.42123288,1,2,0,-1,3,2,2,1,2,2,2,2,3,2
18.66575342,79,12,6,67,3,6,4,5,5,4,0,1,5,11,5,2,1,y,5,0506971PE,2,8,TL2,8,5,BRITISH,10,9, ,M,3,7,N,5,0,0,1,15,9,17,18.41575342,1,,,0,2,,,,,3,3,3,2,2
20.41917808,69,9,4,60,3,16,6,1,6,14,7,2,9,15,7,3,7,N,7,0508952EM,2,7,TL3,8,4,IRISH,11,8,6,F,2,4,N,0,0,0,0,28,30,29,20.16917808,1,0,1,1,0,3,2,2,3,2,2,2,2,2
20.33150685,61,2,3,59,3,5,2,1,2,6,5,2,2,6,3,3,3,y,3,0609952LO,2,5,TL3,7,5,ITALIAN,6,3,4,F,6,7,Y,5,2,1,0,9,13,12,20.08150685,1,0,0,0,2,1,1,1,1,1,1,1,1,1
