Cohort,Session,Group,ID,RRQ0,RRQ1,RRQ2,RRQ3,RRQ4,L01,L02,L03,L04,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,L1,A1,B1,C1,D1,E1,F1,G1,H1,R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,L2,A2,B2,C2,D2,E2,F2,G2,H2,R301,R302,R303,R304,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,L3,A3,B3,C3,D3,E3,F3,G3,H3,R401,R402,R403,R404,R405,R406,R407,R408,R409,R410,R411,R412,R413,R414,R415,R416,L4,A4,B4,C4,D4,E4,F4,G4,H4
2,1,2,0103930KI,3.25926E+15,5.16952E+15,8.55752E+15,8.77661E+15,9.86408E+15,B,D,B,DX,3,2,5,9,2,5,7,2,6,3,8,5,3,4,5,2,5,1,6,9,5,1,7,3,4,0,4,7,3,6,9,4,1,0,1,0,0,0,0,0,0,8,5,5,7,5,1,9,5,3,1,2,9,2,7,8,5,1,0,0,0,1,0,0,0,0,8,7,7,6,6,0,9,6,4,1,2,9,6,8,8,6,1,0,1,0,0,0,0,0,0,9,8,6,4,0,8,2,3,2,1,8,6,6,7,8,6,1,0,0,0,1,0,0,0,0
2,2,3,0103930KI,79472465346X5875,8X767166551X8X98,8X685077263X78X7,XX889078685X88XX,XX887059660XXXXX,D,BD,D,D,7,9,4,7,2,4,6,5,3,4,6,10,5,8,7,5,8,10,7,6,7,1,6,6,5,5,1,10,8,10,9,8,1,0,0,0,1,0,0,0,0,10,10,8,8,9,0,7,8,6,8,5,10,8,8,10,10,1,0,0,0,1,0,0,0,0,10,10,8,8,7,0,5,9,6,6,0,10,10,10,10,10,1,0,0,0,1,0,0,0,0,10,10,8,8,7,0,5,9,6,6,0,10,10,10,10,10,1,0,0,0,1,0,0,0,0
1,2,3,0107962JE,818X658495796695,48857055X51979X7,3X855077X55X5XX8,7X968047X53X59X5,8X928047X54X5XX7,BE,BD,BD,BE,8,1,8,10,6,5,8,4,9,5,7,9,6,6,9,5,4,8,8,5,7,0,5,5,10,5,1,9,7,9,10,7,2,0,1,0,0,1,0,0,0,7,10,9,6,8,0,4,7,10,5,3,10,5,9,10,5,2,0,1,0,1,0,0,0,0,8,10,9,2,8,0,4,7,10,5,4,10,5,10,10,7,2,0,1,0,0,1,0,0,0,8,10,9,2,8,0,4,7,10,5,4,10,5,10,10,7,2,0,1,0,0,1,0,0,0
2,1,5,0108913DI,5.53886E+15,6277X16797693X77,7788X1672477347X,5378706697XX2969,699990798979287X,B,G,B,D,5,5,3,8,8,5,9,5,9,9,6,3,9,1,4,5,6,2,7,7,10,1,6,7,9,7,6,9,3,10,7,7,1,0,1,0,0,0,0,0,0,5,3,7,8,7,0,6,6,9,7,10,10,2,9,6,9,1,0,1,0,0,0,0,0,0,6,9,9,9,9,0,7,9,8,9,7,9,2,8,7,10,1,0,0,0,1,0,0,0,0,6,9,9,9,9,0,7,9,8,9,7,9,2,8,7,10,1,0,0,0,1,0,0,0,0
1,1,5,0109952BE,6.32777E+15,4.74555E+15,2.43435E+15,4.54342E+15,4.54242E+15,ABCDEFGH,AE,AB,AB,6,3,2,7,7,6,7,5,6,5,8,6,7,3,2,5,4,7,4,5,5,4,5,3,6,6,2,7,6,2,2,3,8,1,1,1,1,1,1,1,1,4,5,4,3,4,2,4,4,6,4,1,7,7,3,2,4,2,1,1,0,0,0,0,0,0,4,5,4,2,4,1,5,5,8,7,6,6,6,2,2,4,2,1,1,0,0,0,0,0,0,4,5,4,2,4,1,5,5,8,7,6,6,6,2,2,4,2,1,1,0,0,0,0,0,0
1,2,5,0109952BE,2.34768E+15,1.13875E+15,3.12725E+15,654361437537-235,8.54762E+15,E,B,BD,AEF,2,3,4,7,6,7,6,5,8,4,3,4,5,2,2,3,1,1,3,8,7,4,7,5,1,4,3,6,1,2,1,3,1,0,0,0,0,1,0,0,0,6,5,4,3,6,1,4,3,7,5,3,7,,2,3,5,2,0,1,0,1,0,0,0,0,8,5,4,7,6,1,5,4,2,6,1,3,7,2,2,6,3,1,0,0,0,1,1,0,0,8,5,4,7,6,1,5,4,2,6,1,3,7,2,2,6,3,1,0,0,0,1,1,0,0
1,1,2,0109953AG,24352X60XX876517,47885251X5051162,288880X0XX0X15X5,57777064X50X0377,57866244X5073474,BDE,E,BDE,BDE,2,4,3,5,2,10,6,0,10,10,8,7,6,5,1,7,4,7,8,8,5,2,5,1,10,5,0,5,1,1,6,2,3,0,1,0,1,1,0,0,0,5,7,7,7,7,0,6,4,10,5,0,10,0,3,7,7,3,0,1,0,1,1,0,0,0,5,7,8,6,6,2,4,4,10,5,0,7,3,4,7,4,3,0,1,0,1,1,0,0,0,5,7,8,6,6,2,4,4,10,5,0,7,3,4,7,4,3,0,1,0,1,1,0,0,0
1,2,2,0109953AG,63443X53X8696753,62665342X636XXX5,63X70760X1X471X2,72X3X277X26X58X3,70X26510X0X525X4,B,B,B,BE,6,3,4,4,3,10,5,3,10,8,6,9,6,7,5,3,6,2,6,6,5,3,4,2,10,6,3,6,10,10,10,5,1,0,1,0,0,0,0,0,0,7,2,10,3,10,2,7,7,10,2,6,10,5,8,10,3,1,0,1,0,0,0,0,0,0,7,0,10,2,6,5,1,0,10,0,10,5,2,5,10,4,2,0,1,0,0,1,0,0,0,7,0,10,2,6,5,1,0,10,0,10,5,2,5,10,4,2,0,1,0,0,1,0,0,0
1,3,2,0109953AG,728715X573577575,XXX57080X79X32X5,X6XX80X6X5XX32X5,XXX760X684X7X1X5,6XX300500030X0X0,BD,B,FH,H,7,2,8,7,1,5,10,5,7,3,5,7,7,5,7,5,10,10,10,5,7,0,8,0,10,7,9,10,3,2,10,5,2,0,1,0,1,0,0,0,0,10,10,10,7,6,0,10,6,8,4,10,7,10,1,10,5,2,0,0,0,0,0,1,0,1,6,10,10,3,0,0,5,0,0,0,3,0,10,0,10,0,1,0,0,0,0,0,0,0,1,6,10,10,3,0,0,5,0,0,0,3,0,10,0,10,0,1,0,0,0,0,0,0,0,1
2,1,5,0110961PA,X678354567477966,2.59262E+15,03708016960X4XXX,09409019X80X3XXX,39909034X7295978,,,,,10,6,7,8,3,5,4,5,6,7,4,7,7,9,6,6,2,5,9,2,6,1,5,5,9,5,1,9,1,8,9,9,0,0,0,0,0,0,0,0,0,0,9,4,0,9,0,1,9,10,8,0,10,3,10,10,10,0,0,0,0,0,0,0,0,0,3,9,9,0,9,0,3,4,10,7,2,9,5,9,7,8,0,0,0,0,0,0,0,0,0,3,9,9,0,9,0,3,4,10,7,2,9,5,9,7,8,0,0,0,0,0,0,0,0,0
1,1,1,0111942CA,7.25464E+15,5.26345E+15,3.26374E+15,9.38183E+15,7.38662E+15,B,E,F,A,7,2,5,4,6,4,3,4,5,4,7,5,6,4,3,3,5,2,6,3,4,4,5,4,8,3,5,9,3,8,6,4,1,0,1,0,0,0,0,0,0,9,3,8,1,8,2,5,8,6,8,1,6,4,6,9,7,1,0,0,0,0,0,1,0,0,7,3,8,6,6,2,3,4,7,5,6,8,8,7,6,3,1,1,0,0,0,0,0,0,0,7,3,8,6,6,2,3,4,7,5,6,8,8,7,6,3,1,1,0,0,0,0,0,0,0
1,2,1,0111942CA,7.55564E+15,2.53125E+15,6.54443E+15,2.75172E+15,6.64323E+15,B,BEF,BE,DF,7,5,5,5,6,3,5,6,7,2,6,8,4,5,6,5,2,5,3,1,2,5,2,0,7,5,7,8,8,5,2,2,1,0,1,0,0,0,0,0,0,2,7,5,1,7,2,3,3,4,8,5,8,5,8,2,3,2,0,1,0,0,1,0,0,0,6,6,4,3,2,3,3,1,4,5,4,6,8,5,4,3,2,0,0,0,1,0,1,0,0,6,6,4,3,2,3,3,1,4,5,4,6,8,5,4,3,2,0,0,0,1,0,1,0,0
1,3,1,0111942CA,5.26544E+15,4.37244E+15,2.17263E+15,9.95543E+15,3.33233E+15,B,E,DF,A,5,2,6,5,4,3,7,5,8,5,5,7,7,7,2,6,4,3,7,2,4,3,5,5,8,7,8,9,9,8,6,6,1,0,1,0,0,0,0,0,0,9,9,5,5,4,3,3,6,4,6,7,7,5,7,6,5,2,0,0,0,1,0,1,0,0,3,3,3,2,3,3,4,1,5,7,2,7,9,7,5,4,1,1,0,0,0,0,0,0,0,3,3,3,2,3,3,4,1,5,7,2,7,9,7,5,4,1,1,0,0,0,0,0,0,0
