Cohort,Session,Group,ID,rrq-0,rrq-1,rrq-2,rrq-3,rrq-4
2,1,2,0103930KI,3259257263853452,B5169517340473694,D8557519531292785,B8776609641296886,DX9864082321866786
2,2,3,0103930KI,79472465346X5875,D8X767166551X8X98,BD8X685077263X78X7,DXX889078685X88XX,DXX887059660XXXXX
1,2,3,0107962JE,818X658495796695,BE48857055X51979X7,BD3X855077X55X5XX8,BD7X968047X53X59X5,BE8X928047X54X5XX7
2,1,5,0108913DI,5538859599639145,B6277X16797693X77,G7788X1672477347X,B5378706697XX2969,D699990798979287X
1,1,5,0109952BE,6327767565867325,ABCDEFGH4745545366276223,AE2434345565376324,AB4543424464177324,AB4542415587666224
1,2,5,0109952BE,2347676584345223,E1138747514361213,B3127248213173215,BD654361437537-235,AEF8547615426137226
1,1,2,0109953AG,24352X60XX876517,BDE47885251X5051162,E288880X0XX0X15X5,BDE57777064X50X0377,BDE57866244X5073474
1,2,2,0109953AG,63443X53X8696753,B62665342X636XXX5,B63X70760X1X471X2,B72X3X277X26X58X3,BE70X26510X0X525X4
1,3,2,0109953AG,728715X573577575,BDXXX57080X79X32X5,BX6XX80X6X5XX32X5,FHXXX760X684X7X1X5,H6XX300500030X0X0
2,1,5,0110961PA,X678354567477966,2592615595191899,03708016960X4XXX,09409019X80X3XXX,39909034X7295978
1,1,1,0111942CA,7254643454756433,B5263445483593864,E3263743787477875,F9381825868164697,A7386623475688763
1,2,1,0111942CA,7555635672684565,B2531252075788522,BEF6544433157566644,BE2751723348585823,DF6643233145468543
1,3,1,0111942CA,5265437585577726,B4372435587899866,E2172634679397986,DF9955433646775765,A3332334157279754
1,1,1,0112941MA,8479838576477275,B7024706365292564,B7024705525292564,C7043325352242265,B1011101111042132
1,3,1,0112941MA,5359649654876497,FG7279949877254289,BEF8378858855285557,BEF7377757667485377,BEF7377847327275386
1,1,3,0112951EM,8688925776685357,E9965454585799677,B5475673787487666,B52877218X57X9977,B5767643785898866
2,3,4,0112951EM,9898754796574478,B67X88445857X7767,GX79992788976658X,E98X895599X78769X,D8978678677888777
1,1,2,0201964HA,7468486599487679,BDEH8899817799597999,BH8899807788284878,ABDH8998808877288988,BDEGH9996807849197689
1,2,2,0201964HA,76896575X7474688,B85X88068X73976XX,F63777167X7297778,B72787167X7295867,G71887168X93X6877
1,3,2,0201964HA,7689777697676678,BE46837266X6598888,AE3565717697598889,EH4476617697788888,H6687717798699898
2,1,5,0202942JU,6977713778898768,B7579915584788798,G9989716688786767,D8887614688888966,G9788715688588969
2,1,2,0206962LI,8X65557584533623,B3764324785992776,C2976567582772853,A6756318678868756,D3987628396475644
2,2,2,0206962LI,7866566686665567,C83535325886XXX67,F8374522886786769,E8668427589677747,H7485414474675698
1,1,5,0209951SA,47492746565-8477,FX887436472585743,D7786557635656765,B8886628734884867,E8897727517881835
